theft,myear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
0,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1978,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
0,1979,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1980,1,5,6,3,1,3,1,5,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,30
0,1981,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
0,1982,0,3,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
0,1983,12,14,10,11,4,2,4,4,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,67
0,1984,22,28,23,42,27,9,13,4,4,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,178
0,1985,43,36,48,35,30,24,12,13,7,6,6,3,2,5,3,3,1,1,0,0,0,0,0,0,278
0,1986,31,49,41,53,23,38,19,28,10,5,9,2,4,4,1,2,4,1,1,1,0,0,0,1,327
0,1987,67,78,58,73,69,57,42,37,30,15,21,13,7,2,5,15,4,2,1,2,3,0,1,1,603
0,1988,82,86,90,118,97,64,59,58,42,21,25,13,17,11,14,13,8,5,5,8,0,0,0,0,836
0,1989,106,108,142,146,93,91,70,77,59,54,34,33,20,17,14,15,14,13,5,2,7,2,0,0,1122
0,1990,84,108,94,107,88,73,75,82,54,49,49,36,25,17,31,24,25,14,12,10,4,3,1,0,1065
0,1991,66,83,87,80,88,69,69,67,57,35,43,28,38,25,20,18,14,14,13,7,1,2,1,1,926
0,1992,74,89,92,93,94,101,72,89,63,69,78,71,46,50,37,44,29,25,21,8,8,2,1,3,1259
0,1993,98,140,121,123,119,109,108,108,106,83,63,93,64,73,62,58,34,41,22,10,9,4,4,4,1656
0,1994,113,124,118,135,127,123,113,133,114,86,114,84,114,76,74,87,53,52,40,19,21,2,2,4,1928
0,1995,117,127,128,120,119,111,127,123,85,88,88,93,92,85,93,94,74,57,52,32,17,10,1,3,1936
0,1996,114,137,114,126,117,118,124,124,115,102,116,101,93,94,82,93,85,63,57,44,21,9,6,6,2061
0,1997,119,145,148,162,143,139,112,121,112,99,115,111,103,111,100,124,127,113,78,67,33,16,9,10,2417
0,1998,125,157,168,179,150,146,132,125,115,133,100,108,107,122,107,125,114,106,84,75,61,15,11,14,2579
0,1999,190,176,224,191,185,169,160,143,135,128,109,107,130,142,122,130,138,129,118,101,68,32,19,18,3064
0,2000,162,238,213,233,191,178,176,164,126,128,119,117,121,137,117,147,135,154,125,108,68,21,20,15,3213
0,2001,7,142,167,150,142,140,125,141,122,103,115,98,95,105,99,104,92,110,103,104,46,21,18,14,2363
0,2002,0,9,153,220,185,138,185,160,126,117,120,103,127,120,132,148,108,123,122,100,85,34,23,21,2659
0,2003,1,1,11,139,177,170,171,179,136,133,106,102,125,122,120,124,140,139,97,129,68,31,22,28,2471
0,2004,0,0,0,6,133,179,133,142,109,133,108,113,91,101,96,135,133,129,141,102,71,26,29,15,2125
0,2005,0,0,0,2,15,159,198,164,157,129,129,116,122,126,138,154,121,137,132,110,88,29,17,27,2270
0,2006,0,0,0,0,0,11,110,101,75,78,70,65,74,78,73,71,87,96,86,55,42,23,13,8,1216
0,2007,0,1,0,0,0,1,63,326,311,265,204,233,211,255,225,255,291,267,257,238,192,58,34,58,3745
0,2008,0,1,0,0,0,0,0,11,113,111,94,95,70,78,104,105,90,87,99,79,66,18,20,14,1255
0,2009,1,0,1,0,1,1,1,1,52,172,168,172,154,158,161,189,168,170,177,162,96,47,19,40,2111
0,2010,0,0,0,0,0,0,0,0,0,23,121,115,119,97,113,118,127,121,100,95,62,24,9,19,1263
0,2011,0,0,1,0,0,0,0,0,0,0,36,171,222,202,168,186,171,169,175,191,101,46,29,29,1897
0,2012,0,0,0,0,0,0,0,0,0,0,0,4,120,195,188,199,179,177,164,166,99,46,38,27,1602
0,2013,0,0,0,0,0,0,0,0,0,0,0,0,3,91,119,148,136,119,109,92,75,20,21,26,959
0,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,3,186,237,243,227,208,186,119,48,26,41,1525
0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,184,290,261,215,187,116,41,38,30,1364
0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,225,271,204,175,116,41,17,41,1100
0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,251,299,252,147,71,34,40,1118
0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,219,279,177,56,41,32,815
0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,189,179,43,40,42,499
0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,125,55,45,47,280
0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,37,28,105
0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,31,55
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
