theft,myear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1981,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1982,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1983,44,47,36,36,25,17,7,4,5,4,2,2,2,1,0,1,0,1,0,0,0,0,0,0
1,1984,130,149,155,166,97,65,37,20,13,6,10,3,2,1,0,1,2,1,0,0,0,0,0,0
1,1985,182,185,212,202,144,96,55,49,17,13,11,8,1,2,6,6,1,2,2,0,0,2,1,1
1,1986,186,191,234,255,163,142,86,72,41,27,20,13,10,3,7,11,6,1,3,1,1,2,1,1
1,1987,318,455,527,574,497,435,353,266,221,93,100,75,54,25,40,28,23,8,10,4,2,0,2,2
1,1988,368,514,634,718,633,609,455,365,296,167,154,105,96,51,59,33,29,23,17,4,8,6,1,1
1,1989,395,566,758,786,694,661,633,497,455,253,242,134,139,73,95,70,43,32,18,10,9,11,7,4
1,1990,244,349,457,564,509,476,452,381,376,231,196,130,139,79,83,70,37,36,12,15,4,11,4,7
1,1991,207,283,356,394,402,416,390,382,377,202,181,155,133,93,117,69,53,35,29,11,15,15,8,8
1,1992,17,30,35,32,31,29,32,30,12,18,33,18,16,16,20,16,16,16,7,16,8,14,7,4
1,1993,33,38,45,28,28,32,43,36,26,25,30,14,25,19,17,25,25,19,13,12,13,5,9,3
1,1994,18,26,30,36,44,28,20,28,26,33,37,32,22,22,29,28,27,31,16,16,16,2,7,11
1,1995,27,23,22,30,29,21,36,23,28,18,25,17,24,21,14,22,23,24,16,22,20,13,9,15
1,1996,31,34,37,36,66,44,77,66,24,23,16,27,22,26,26,17,24,18,20,11,25,17,14,6
1,1997,40,27,36,34,46,32,22,18,10,21,14,23,21,10,24,23,33,25,15,14,10,16,11,14
1,1998,47,36,41,33,20,24,28,25,15,15,21,19,19,18,19,16,31,31,31,25,12,15,13,15
1,1999,68,53,49,48,32,34,29,27,22,12,20,14,17,13,20,21,29,21,13,17,21,20,25,9
1,2000,44,61,50,38,33,29,22,19,13,17,13,13,14,21,22,19,25,24,31,13,21,20,11,10
1,2001,0,39,58,60,38,19,17,20,18,18,12,12,18,16,7,31,22,19,16,24,13,13,10,11
1,2002,0,2,53,43,42,39,23,22,19,16,16,14,17,20,14,18,25,17,13,17,9,29,10,19
1,2003,0,0,2,34,40,23,22,22,14,18,18,13,12,13,18,25,17,29,19,17,19,13,10,16
1,2004,0,0,0,3,21,32,20,15,9,11,12,12,15,7,15,19,12,12,18,13,9,21,10,11
1,2005,0,0,0,0,2,43,38,39,27,21,14,15,19,18,26,21,13,16,11,19,16,20,24,13
1,2006,0,0,0,0,0,1,21,17,13,11,4,12,9,4,8,13,8,7,11,14,7,8,10,6
1,2007,0,0,0,0,0,0,9,51,47,47,40,43,30,39,24,36,37,37,25,26,32,30,37,26
1,2008,0,0,0,0,0,0,0,0,16,18,22,17,16,13,8,10,13,18,8,9,12,8,6,7
1,2009,0,0,0,0,0,0,0,0,16,19,29,27,19,14,17,23,16,16,19,8,25,21,22,19
1,2010,0,0,0,0,0,0,0,0,0,6,13,20,14,12,6,14,15,11,15,5,12,9,16,6
1,2011,0,0,0,0,0,0,0,0,0,0,4,22,29,22,18,19,11,21,16,14,20,21,17,15
1,2012,0,0,0,0,0,0,0,0,0,0,0,0,7,18,12,12,26,13,15,15,14,22,22,19
1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,14,26,5,9,7,7,14,10,17
1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,26,24,21,17,9,17,13,30
1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,22,19,20,15,13,13,14
1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,26,18,17,14,8,7
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,23,25,22,28,19,17
1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,24,21,28,18,22
1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,40,32,22,24
1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,20,15
1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,16
1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17
1,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
