theft,myear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
0,1976,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1977,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,1978,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6
0,1979,0,2,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
0,1980,7,8,3,5,4,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36
0,1981,8,9,4,7,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,36
0,1982,12,9,11,7,3,3,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,51
0,1983,11,19,8,5,6,3,1,2,2,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,64
0,1984,24,29,22,12,7,2,5,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,110
0,1985,34,30,33,26,18,17,7,4,3,2,3,3,3,1,2,1,1,0,0,1,0,0,0,0,189
0,1986,45,46,41,33,32,15,11,10,6,4,5,3,5,0,1,2,0,2,1,0,0,0,0,1,263
0,1987,65,62,55,53,31,34,13,16,13,2,5,4,2,1,1,3,1,0,0,1,1,0,0,0,363
0,1988,45,83,68,69,65,32,46,27,21,19,10,14,7,4,6,9,5,8,3,5,0,2,0,0,548
0,1989,77,72,58,61,46,51,43,33,27,25,21,8,12,13,17,5,6,6,10,3,2,0,0,0,596
0,1990,84,88,96,93,84,55,64,54,53,28,33,18,27,19,20,20,20,21,7,6,4,1,1,0,896
0,1991,91,103,87,99,84,59,62,56,46,29,39,37,19,34,20,26,15,13,10,7,4,1,0,2,943
0,1992,63,66,89,75,68,61,66,38,54,54,42,41,46,35,42,30,25,22,9,12,7,4,0,0,949
0,1993,95,122,118,130,135,89,91,121,76,61,65,56,69,54,50,31,41,30,20,14,11,5,4,2,1490
0,1994,103,122,109,111,103,96,76,77,93,67,76,76,72,63,50,50,51,34,23,13,5,3,4,1,1478
0,1995,155,155,156,158,159,123,119,127,107,93,97,85,100,84,78,78,57,56,40,41,22,10,4,4,2108
0,1996,108,131,128,145,112,112,117,98,87,64,74,62,76,77,89,78,66,62,44,27,16,7,0,5,1785
0,1997,133,155,161,157,151,117,132,136,111,89,115,70,110,106,110,96,92,77,63,62,27,6,6,2,2284
0,1998,140,154,174,160,163,171,131,151,123,121,113,115,113,120,127,120,99,90,86,56,47,18,8,6,2606
0,1999,135,128,146,159,137,113,106,108,86,85,84,86,78,90,101,100,103,76,59,65,34,17,14,7,2117
0,2000,131,215,178,182,179,157,142,148,135,125,124,103,149,123,128,126,156,112,95,86,64,16,20,9,2903
0,2001,5,131,191,182,159,140,140,160,118,112,126,120,135,118,120,146,145,119,112,92,58,25,17,16,2687
0,2002,0,5,150,189,166,159,131,151,127,123,103,110,132,112,139,105,140,131,123,102,66,17,19,15,2515
0,2003,0,2,7,105,144,143,146,150,114,103,93,120,102,108,106,123,129,121,96,95,65,31,14,10,2127
0,2004,1,0,0,3,126,127,158,120,137,117,93,100,108,115,114,115,111,119,101,91,72,23,18,14,1983
0,2005,0,1,0,0,11,118,134,165,137,114,128,113,118,129,129,141,142,126,115,110,64,27,22,25,2069
0,2006,0,0,0,0,0,4,119,145,144,133,111,104,117,113,134,129,154,127,132,134,78,49,32,19,1978
0,2007,0,0,0,0,0,1,3,118,146,112,135,103,139,139,148,191,141,148,174,149,93,40,44,49,2073
0,2008,0,0,0,0,0,0,0,5,116,123,149,125,126,120,144,157,132,147,139,148,111,38,44,38,1862
0,2009,0,0,0,0,0,0,0,0,8,69,107,99,95,104,110,115,122,108,105,101,73,26,22,17,1281
0,2010,0,0,0,0,1,0,0,0,0,5,68,111,125,116,135,133,119,119,100,93,70,34,21,30,1280
0,2011,0,0,0,0,0,0,0,0,0,0,0,59,67,59,78,55,75,63,74,50,47,22,12,14,675
0,2012,0,0,0,0,0,0,0,0,0,0,0,14,152,244,229,232,257,217,173,173,134,61,38,48,1972
0,2013,0,0,0,0,0,0,0,0,0,0,2,0,3,109,246,258,258,235,206,188,109,44,30,38,1726
0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,233,203,175,175,161,96,34,22,27,1251
0,2015,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,219,458,388,328,307,173,56,34,45,2013
0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,308,529,405,323,197,69,58,46,1938
0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,287,461,413,252,70,49,53,1587
0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,280,460,233,61,50,54,1142
0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,248,267,63,55,58,698
0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,114,75,45,46,282
0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,28,25,90
0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,37,68
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34
