theft,myear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,1976,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1977,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1979,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980,4,5,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1981,7,6,2,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1982,6,8,4,5,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1983,15,7,7,5,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1984,17,17,9,16,7,10,7,5,2,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1985,22,24,27,27,20,9,9,3,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1986,30,35,35,26,21,12,12,13,8,4,7,4,4,3,1,2,0,0,0,1,0,1,1,0
1,1987,40,40,51,57,42,22,17,14,15,8,9,4,3,4,2,1,0,6,1,1,0,0,2,1
1,1988,64,78,129,112,110,90,89,70,75,54,47,25,21,25,9,11,18,12,12,7,6,7,2,2
1,1989,59,85,116,125,104,113,101,82,90,67,63,40,35,21,24,17,15,18,15,11,13,12,3,3
1,1990,72,115,137,157,163,147,143,129,126,101,84,58,57,41,39,43,42,24,19,11,12,11,7,8
1,1991,74,114,144,162,175,217,181,156,130,142,91,75,80,84,55,43,49,39,33,21,12,18,16,8
1,1992,62,73,106,90,92,105,111,105,130,128,115,101,99,94,63,96,72,56,36,21,31,13,9,5
1,1993,89,138,180,154,175,174,225,223,220,222,205,174,193,180,151,179,145,124,90,45,51,43,26,24
1,1994,95,125,154,149,153,158,200,175,234,225,209,161,167,156,122,161,158,111,81,59,52,36,26,11
1,1995,145,160,200,172,174,175,211,206,274,289,252,220,233,212,208,263,223,195,128,86,90,79,44,34
1,1996,66,120,137,123,96,113,132,118,151,156,131,149,175,169,177,227,190,186,124,91,118,96,42,39
1,1997,112,133,142,131,124,123,154,148,203,208,183,209,204,227,240,334,344,317,203,156,164,128,79,78
1,1998,116,146,148,138,118,109,152,139,166,221,169,218,191,247,259,355,372,363,186,162,259,166,139,98
1,1999,120,194,185,172,126,105,141,102,155,125,138,133,127,156,191,245,254,248,207,147,185,122,126,78
1,2000,124,316,289,205,165,142,184,131,197,170,163,147,198,192,218,311,344,319,265,177,292,222,169,118
1,2001,1,28,40,54,39,34,21,21,31,30,23,18,16,14,20,25,19,23,24,14,12,18,10,14
1,2002,0,1,24,44,32,32,19,20,24,22,14,16,29,15,13,20,22,23,21,23,13,14,9,12
1,2003,0,0,1,28,44,29,22,20,25,23,11,18,17,21,15,24,22,11,21,13,7,12,5,13
1,2004,0,0,0,1,16,23,22,23,20,16,16,13,19,11,12,9,17,23,23,13,11,18,11,10
1,2005,0,0,0,0,0,19,31,26,15,16,14,9,19,14,11,10,22,21,13,15,7,10,15,7
1,2006,0,0,0,0,0,1,18,20,14,8,7,8,14,7,21,18,10,17,18,15,18,17,18,18
1,2007,0,0,0,0,0,0,1,17,38,15,13,8,8,13,14,15,19,9,11,14,8,16,24,17
1,2008,0,0,0,0,0,0,0,0,16,22,12,3,11,18,12,12,22,10,25,12,12,20,18,19
1,2009,0,0,0,0,0,0,0,0,2,12,12,7,8,8,11,11,14,11,12,11,14,20,12,12
1,2010,0,0,0,0,0,0,0,0,0,0,9,16,11,9,8,7,10,9,19,11,15,14,13,12
1,2011,0,0,0,0,0,0,0,0,0,0,0,7,7,3,6,8,6,5,6,4,10,9,5,6
1,2012,0,0,0,0,0,0,0,0,0,0,0,3,19,16,30,35,33,17,26,20,25,33,24,20
1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,31,24,28,19,22,23,21,20,22
1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,23,29,13,14,15,16,13,14
1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,46,42,33,27,36,29,17,27
1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,34,41,37,20,35,25
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,30,42,33,28,34
1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,47,24,25,33
1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,34,36,30,33
1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,27,30
1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,19
1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,17
1,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
