filename,first_date
Strong Job Gains Firming Up Expectations For Aggressive Fed Tightening; Dems Pass Massive Reconcilia.DOCX,"August 8, 2022"
Summerland senior's vehicle vandalized in apparent TikTok challenge(3).DOCX,"November 16, 2023"
"TikTok users offer how-to on stealing cars Kia, Hyundai models lack security feature.DOCX","September 21, 2022"
Summerland senior's vehicle vandalized in apparent TikTok challenge.DOCX,"November 12, 2023"
Automovilismo.Esto costará el Toyota Yaris Sedán 2023 en México.DOCX,"October 14, 2022"
"'You could lose your life'_ Parents respond to reckless driving after crash involving stolen Kia , s.DOCX","May 9, 2023"
"2024 Kia Soul_ Trim Levels, Standard Tech & Safety Features, Starting MSRP & More.DOCX","September 18, 2023"
Four New York Teens Die In Car Crash Linked To Viral TikTok 'Challenge'.DOCX,"October 26, 2022"
Auto Insurers Drop Coverage of These 2 Vehicles Due to Ease of Theft.DOCX,"January 30, 2023"
Teenage boy fatally shot while driving stolen Kia.DOCX,"January 17, 2023"
TikTok challenge possibly linked to teens' deadly car crash(2).DOCX,"October 25, 2022"
Rep. Liz Cheney Defeated In GOP Primary; Sarah Palin`s Political Comeback; Rudy Giuliani Set To Test.DOCX,"August 17, 2022"
Millions Of Hyundais And Kias On The Road But Now The Vehicles Are Being Stolen At An Alarming.DOCX,"August 17, 2022"
This is how much the 2023 Toyota Yaris Sedan will cost in Mexico.DOCX,"October 13, 2022"
"City files lawsuit against Hyundai , Kia over vehicle thefts.DOCX","October 13, 2023"
TikTok ' Kia Challenge' Ends Tragically.DOCX,"October 27, 2022"
Milwaukee's New Mayor Seeks to Rebuild City Plagued by Shootings.DOCX,"May 16, 2022"
News Hyundai and Kia to compensate victims of the _ Kia Boyz_ with 200 million dollars.DOCX,"May 22, 2023"
"Hyundai, Kia offer $200M in theft-risk case.DOCX","May 19, 2023"
Alertan por aumento de robo de autos en EU tras tendencia en TikTok.DOCX,"August 31, 2022"
Grand theft uh-oh . . . 2023 is already the worst year for car theft in 15 years ... and we still ha.DOCX,"December 7, 2023"
Disturbing New TikTok Challenge Responsible For Death Of 4 Bufallo Teens_.DOCX,"October 27, 2022"
"Four young people, including a 14-year-old mother, are killed when they crash a car for doing the _.DOCX","October 27, 2022"
Why antivirus cannot protect your car.DOCX,"June 6, 2023"
Undercover cop car grab eyed as Kia 'challenge'.DOCX,"January 25, 2023"
Kia and Hyundai vehicles across America are being stolen in seconds.DOCX,"August 27, 2022"
Car thefts are on the rise in Dallas.DOCX,"September 13, 2022"
"Hyundai , Kia thefts too easy, AG says.DOCX","March 8, 2023"
"Kia , Hyundai 'Deliberately' Built Cars Without Anti-Theft Devices_ Lawsuit.DOCX","September 23, 2022"
"Old Guard Still Thinks We Should Reward China, The Biden Administration Is Used To This Humiliation;.DOCX","February 3, 2023"
Kia and Hyundai agree to $200 million settlement on car-theft flaws.DOCX,"May 22, 2023"
"Kia, Hyundai Skimped On Anti-Theft For Profit, Suit Says.DOCX","February 21, 2023"
Buffalo Car Crash_ 4 Teens Who Attempted TikTok ' Kia Challenge' Include Young Mom.DOCX,"October 28, 2022"
Senior’s vehicle damaged in apparent TikTok challenge(2).DOCX,"November 16, 2023"
MUPD sees decline in car thefts on campus.DOCX,"October 3, 2023"
Viejo reto de TikTok pone en riesgo a dueños de autos KIA y Hyundai.DOCX,"September 22, 2023"
"Does TikTok encourage risky, harmful behaviour in its young users_.DOCX","March 11, 2023"
Michigan Insurers Must Cover Cars Despite TikTok Theft Trend.DOCX,"March 7, 2023"
4 teenagers die after performing Tiktok challenge_ Youngsters crashed while driving a stolen car.DOCX,"October 31, 2022"
TikTok challenge possibly linked to teens' deadly car crash(4).DOCX,"October 25, 2022"
Atlanta Police say youths are driving the spike of Hyundai and Kia car thefts.DOCX,"April 7, 2023"
_ Kia Boys_ Come to Campus_ Viral Trend Leads to Increase in Car Theft.DOCX,"November 28, 2023"
Hyundai owners can get free fix to help deter car thieves.DOCX,"November 6, 2023"
Hyundai corrects vulnerability in vehicles.DOCX,"February 18, 2023"
Insurers Leery of Hyundais and Kias Famous on Social Media for Being Easy to Steal(2).DOCX,"February 1, 2023"
"Casi 4,000 clientes de Hyundai y Kia quisieran demandar a los fabricantes de sus autos_ qué pasó.DOCX","February 20, 2023"
TikTok challenge that teaches how to start Kia cars with a USB cable triggers thefts in the U.S.DOCX,"August 28, 2022"
Hyundai Motor America and Kia America Resolve Consumer Litigation in Response to Vehicle Thefts.DOCX,"May 18, 2023"
"Akon Preps Partnership With TikTok, Afrobeat's Movement And The Rebirth Of Konvict Muzik.DOCX","October 30, 2022"
Dude Where's My Car_ - THE BUZZ.DOCX,"September 20, 2023"
"Rapist Dies After Headbutting Glass Panel, Leaves Female Victim In Shock In Salvador, Brazil.DOCX","December 27, 2022"
It's Official_ The ' Kia Challenge' Inflated The GOP 'Crimenado'.DOCX,"March 14, 2023"
"Class-action lawsuit against Kia , Hyundai reaches $200M settlement.DOCX","May 19, 2023"
"SUVs nuevos que puedes adquirir por menos de $30,000 dólares.DOCX","September 25, 2022"
World &amp; nation in 60 seconds.DOCX,"October 26, 2022"
"'It's happening everywhere'_ How social media contributed to a spike in Kia , Hyundai thefts.DOCX","September 17, 2022"
Kia planea ensamblar autos eléctricos en EE.UU. para cumplir con el crédito fiscal de Biden.DOCX,"September 30, 2022"
TikTok challenge possibly linked to teens' deadly car crash(3).DOCX,"October 25, 2022"
"FBI data_ Violent crime down in Ohio , but vehicle thefts continue to surge.DOCX","October 24, 2023"
"Columbus Sues Kia, Hyundai Over Auto Thefts.DOCX","February 16, 2023"
Eagles' C.J. Gardner-Johnson Mocked After Car Stolen_ 'Why He Got a Kia_'.DOCX,"January 25, 2023"
Michigan Street 'smoothie mom' makes a difference daily.DOCX,"May 25, 2023"
Kia & Hyundai Settle Agree to Pay Customers' TikTok Theft Losses.DOCX,"May 19, 2023"
"Gottheimer, DHS, NJ Law Enforcement Convene Auto Theft and Port Security Roundtable -- Update on DHS.DOCX","April 5, 2023"
Brooklyn Park gives away steering-wheel locks.DOCX,"March 1, 2023"
Here’s a look at CT crime trends in 2023 and what made a glaring exception.DOCX,"December 26, 2023"
Reto de TikTok que enseña cómo arrancar autos Kia con un cable USB dispara robos en USA.DOCX,"August 29, 2022"
"Hyundai, Kia offer $200M in theft-risk case(2).DOCX","May 19, 2023"
TikTok challenge possibly linked to teens' deadly car crash.DOCX,"October 25, 2022"
Car Thefts Are Spiking New Report Shows Full-Size Pickup Trucks Are At Highest Risk.DOCX,"July 28, 2023"
Four youths killed in crash_ investigation into whether they attempted a dangerous TikTok challenge.DOCX,"October 26, 2022"
Michigan Regulator Tells Auto Insurers Kia and Hyundai Theft Rates Can't Limit Coverage.DOCX,"March 8, 2023"
"Thieves stole their Kias multiple times, now their insurance companies are dropping them.DOCX","January 5, 2023"
Summerland senior's vehicle vandalized in apparent TikTok challenge(2).DOCX,"November 12, 2023"
KIA AND HYUNDAI MANUFACTURED VEHICLE THEFTS NR23234TI.DOCX,"August 9, 2023"
TikTok trend leads to uptick in car thefts.DOCX,"December 7, 2022"
"GM , Hyundai and Kia challenge price cuts on plug-in vehicles.DOCX","February 11, 2023"
"A Tesla co-founder returns, TuSimple restructures again and Uber's stickiness strategy.DOCX","May 21, 2023"
Reports of violent crime in Columbus dropped in '22.DOCX,"January 12, 2023"
Students respond to rise in city auto crimes.DOCX,"May 2, 2023"
"TikTok ' Kia Challenge' fuels St. Pete spike in Kia and Hyundai auto thefts Since July 11, 23 of the.DOCX","July 27, 2022"
Hyundai hit.DOCX,"October 18, 2022"
TikTok challenge could be behind surge in theft of Kia and Hyundai vehicles.DOCX,"April 8, 2023"
"CURBING CAR THIEVES Adams, NYPD in fast & furious push to stop surge fueled by joyriders.DOCX","September 7, 2023"
O desafio viral do TikTok que aumentou o roubo de carros nos EUA.DOCX,"September 1, 2022"
Hyundai And Kia Settle TikTok Car Theft Challenge For $200 Million.DOCX,"May 19, 2023"
Hyundai and Kia to compensate vehicle owners harmed by car theft challenge that went viral on TikTok.DOCX,"May 20, 2023"
"Hyundai, Kia Sued in Rash of Car Thefts.DOCX","September 21, 2022"
Insurers Leery of Hyundais and Kias Famous on Social Media for Being Easy to Steal(3).DOCX,"February 2, 2023"
El reto viral de TikTok que aumentó el robo de autos en Estados Unidos.DOCX,"September 1, 2022"
CAN MPLS. LOOK EAST TO SOLVE CAR THEFT CRISIS_.DOCX,"July 23, 2023"
