"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1976",4.60876092847676e-10,1.06873487162537e-11,1.16695900990629e-13,5.35218401167117e-16,9.08619213770515e-19,4.96640688767965e-22,7.49787315133123e-26,2.64314633492627e-30,1.81090034710012e-35,1.97436685866351e-41,2.75654124449425e-48,3.89421001986471e-56,4.3148710810608e-65,2.84856269031954e-75,8.33337814956534e-87,7.85879864433566e-100,1.69809494259771e-114,5.83234812173251e-131,2.15385428792396e-149,5.63424283321645e-170,6.6913734004617e-193,2.24719240453238e-218,1.29023651230992e-246,7.42386702724492e-278
"1977",4.81488524464763e-08,2.13958041247648e-09,4.96151619263088e-11,5.41751390125515e-13,2.4847086349359e-15,4.21819205281646e-18,2.30561468953861e-21,3.48082766252831e-25,1.22705955315984e-29,8.40696007393651e-35,9.16584028418096e-41,1.27970223329695e-47,1.80785586622432e-55,2.0031444005602e-64,1.32242245377942e-74,3.86870417781953e-86,3.64838443693685e-99,7.88327000269948e-114,2.70762098396091e-130,9.99909632390864e-149,2.61565218768467e-169,3.10641660141954e-192,1.04324110675719e-217,5.9898198497197e-246
"1978",1.52198527793602e-06,1.18196994001851e-07,5.25229492148504e-09,1.21796526783765e-10,1.32990471331256e-12,6.09952421911478e-15,1.0354922192998e-17,5.65987997186253e-21,8.54482184817771e-25,3.01221614380058e-29,2.0637613545151e-34,2.25005314570181e-40,3.14144469717729e-47,4.43796929976397e-55,4.91736842453414e-64,3.24631535115057e-74,9.49699071247824e-86,8.95614436270185e-99,1.9352046204213e-113,6.64673496749006e-130,2.45460289948708e-148,6.42096769143912e-169,7.62570831388749e-192,2.56097407461449e-217
"1979",2.30229035202466e-05,2.87828897153733e-06,2.23527197822668e-07,9.93283099838726e-09,2.30334422346494e-10,2.51503751384117e-12,1.15350611770116e-14,1.9582619346786e-17,1.07036318546583e-20,1.61594641195965e-24,5.69652586807243e-29,3.90286399789701e-34,4.25516806800456e-40,5.94091530165244e-47,8.39282631488692e-55,9.29943772157665e-64,6.13924050961933e-74,1.79601498298249e-85,1.69373330480695e-98,3.65974506940065e-113,1.25699139347802e-129,4.64200052229035e-148,1.21429561512774e-168,1.44212907038025e-191
"1980",0.000201689193089545,3.7740170565264e-05,4.71821969050989e-06,3.66415754832326e-07,1.62823397033921e-08,3.77574460960741e-10,4.12276169541046e-12,1.89087868920761e-14,3.21007032676139e-17,1.7545870854532e-20,2.64893145028608e-24,9.33799934058834e-29,6.39774878282092e-34,6.97526133179213e-40,9.73861340299567e-47,1.37578953223653e-54,1.52440531866327e-63,1.00637169317265e-73,2.94410788525959e-85,2.77644319532804e-98,5.99921738902743e-113,2.06051637002304e-129,7.60937434851421e-148,1.99052754537548e-168
"1981",0.00114984511045935,0.000302036447981806,5.65171930590204e-05,7.06569496505807e-06,5.48720094412758e-07,2.43833592346332e-08,5.65430637558234e-10,6.17397630127052e-12,2.83165535100931e-14,4.80718983706949e-17,2.6275540243237e-20,3.96686522433797e-24,1.39839726109448e-28,9.58084708378617e-34,1.04456918297252e-39,1.45839058377456e-46,2.06029176438216e-54,2.28284897510205e-63,1.50707594640608e-73,4.40890200668431e-85,4.15781841304618e-98,8.98403272429205e-113,3.0856935658115e-129,1.13952977072436e-147
"1982",0.00464025708878993,0.0016177754909422,0.000424950420253561,7.95169096394256e-05,9.94108514004828e-06,7.7202217242444e-07,3.43061866314065e-08,7.95533084368296e-10,8.68648085815945e-12,3.98399974395519e-14,6.76347955735588e-17,3.69683922035314e-20,5.58118417639848e-24,1.96747613658641e-28,1.34797804100957e-33,1.46965744119343e-39,2.05188378955565e-46,2.89872913341865e-54,3.21185617771357e-63,2.12038169915795e-73,6.20310817822267e-85,5.84984591683583e-98,1.26400919732364e-112,4.34141901193426e-129
"1983",0.0141527504476751,0.00623716274445857,0.00217451939147496,0.00057119355215267,0.000106881988835416,1.33622264216333e-05,1.03770714415252e-06,4.61123737473025e-08,1.06930913974426e-09,1.16758605724351e-11,5.35505992479606e-14,9.09107446222297e-17,4.96907550944615e-20,7.50190201725916e-24,2.64456658864308e-28,1.8118734063344e-33,1.9754277540942e-39,2.7580224292082e-46,3.89630251326232e-54,4.31718961015979e-63,2.85009332133116e-73,8.33785596115454e-85,7.86302144798326e-98,1.69900738759625e-112
"1984",0.0344072604855054,0.018371194604684,0.00809624468283875,0.00282266821987298,0.000741446543718377,0.00013873980353788,1.7345042778169e-05,1.34701166097566e-06,5.98568733991051e-08,1.38803311564333e-09,1.51560297446351e-11,6.95121759985062e-14,1.18008085233077e-16,6.45018461442599e-20,9.73795887759607e-24,3.43282018747023e-28,2.35193004143508e-33,2.56423426895935e-39,3.58009327998789e-46,5.05765518684885e-54,5.603994132928e-63,3.69960731246315e-73,1.08230817051789e-84,1.02067154886797e-97
"1985",0.0696922486147893,0.0434507534548838,0.0231998199268462,0.0102242354276545,0.00356456919778032,0.000936325953199749,0.000175205724397703,2.19039576759133e-05,1.70105584565685e-06,7.55894602460531e-08,1.75285924668253e-09,1.91395915425015e-11,8.77825313263738e-14,1.49024948362436e-16,8.14553025917231e-20,1.22974524671172e-23,4.33509153347306e-28,2.9701037203058e-33,3.23820930376173e-39,4.52107340890365e-46,6.3869929044819e-54,7.07692981064409e-63,4.67200012280664e-73,1.36677854661489e-84
