t_yr,yr,mo,date,t,Albuquerque,Atlanta,Denver,Milwaukee,Seattle,Wichita,Total
1,2019,Jan,1/1/19,1,80,17,15,22,0,16,376
2,2019,Feb,2/1/19,2,69,11,6,13,0,9,294
3,2019,Mar,3/1/19,3,47,18,13,10,0,13,305
4,2019,Apr,4/1/19,4,111,15,5,10,1,11,346
5,2019,May,5/1/19,5,113,16,16,11,7,18,362
6,2019,Jun,6/1/19,6,82,14,24,15,8,11,340
7,2019,Jul,7/1/19,7,98,19,15,25,2,10,406
8,2019,Aug,8/1/19,8,132,12,11,21,6,17,379
9,2019,Sep,9/1/19,9,50,11,20,18,6,10,302
10,2019,Oct,10/1/19,10,82,12,27,25,12,7,341
11,2019,Nov,11/1/19,11,62,17,59,14,8,11,367
12,2019,Dec,12/1/19,12,87,17,47,23,12,14,426
1,2020,Jan,1/1/20,13,107,15,18,24,6,10,386
2,2020,Feb,2/1/20,14,80,17,25,24,9,14,328
3,2020,Mar,3/1/20,15,60,27,30,27,5,19,345
4,2020,Apr,4/1/20,16,70,8,41,17,7,6,320
5,2020,May,5/1/20,17,92,9,28,12,8,11,337
6,2020,Jun,6/1/20,18,59,13,54,16,5,9,372
7,2020,Jul,7/1/20,19,72,21,69,24,10,9,435
8,2020,Aug,8/1/20,20,79,17,97,20,14,21,489
9,2020,Sep,9/1/20,21,42,13,116,39,11,20,456
10,2020,Oct,10/1/20,22,42,15,118,77,14,14,513
11,2020,Nov,11/1/20,23,26,13,163,209,14,23,660
12,2020,Dec,12/1/20,24,60,22,165,406,17,16,934
1,2021,Jan,1/1/21,25,41,24,231,512,12,18,1095
2,2021,Feb,2/1/21,26,38,13,170,348,15,12,788
3,2021,Mar,3/1/21,27,42,20,190,496,9,19,989
4,2021,Apr,4/1/21,28,45,13,245,598,12,7,1119
5,2021,May,5/1/21,29,38,14,269,594,17,5,1152
6,2021,Jun,6/1/21,30,63,11,233,644,16,9,1183
7,2021,Jul,7/1/21,31,55,15,196,760,14,7,1267
8,2021,Aug,8/1/21,32,91,17,232,832,19,6,1447
9,2021,Sep,9/1/21,33,137,13,221,605,20,6,1258
10,2021,Oct,10/1/21,34,67,12,169,560,14,10,1106
11,2021,Nov,11/1/21,35,62,10,253,537,19,8,1151
12,2021,Dec,12/1/21,36,105,19,337,485,16,6,1240
1,2022,Jan,1/1/22,37,173,24,375,425,14,10,1327
2,2022,Feb,2/1/22,38,73,14,396,364,17,9,1130
3,2022,Mar,3/1/22,39,102,11,482,407,14,16,1292
4,2022,Apr,4/1/22,40,90,10,396,396,10,13,1187
5,2022,May,5/1/22,41,109,10,423,436,15,12,1285
6,2022,Jun,6/1/22,42,89,37,395,508,15,19,1476
7,2022,Jul,7/1/22,43,101,58,537,487,51,17,2238
8,2022,Aug,8/1/22,44,87,46,422,393,43,5,2399
9,2022,Sep,9/1/22,45,64,46,472,295,85,17,2437
10,2022,Oct,10/1/22,46,63,106,471,374,174,29,3515
11,2022,Nov,11/1/22,47,64,108,391,305,184,15,3442
12,2022,Dec,12/1/22,48,49,116,455,289,196,17,3487
