date,weeknum,optima_thefts,kia_boys_usa
1/2/17,886,3,0
1/9/17,887,1,0
1/16/17,888,4,0
1/23/17,889,1,0
1/30/17,890,3,0
2/6/17,891,0,0
2/13/17,892,1,0
2/20/17,893,3,0
2/27/17,894,4,0
3/6/17,895,1,0
3/13/17,896,3,0
3/20/17,897,3,0
3/27/17,898,0,0
4/3/17,899,2,0
4/10/17,900,2,0
4/17/17,901,2,0
4/24/17,902,0,0
5/1/17,903,1,0
5/8/17,904,1,0
5/15/17,905,3,0
5/22/17,906,3,0
5/29/17,907,1,0
6/5/17,908,3,0
6/12/17,909,1,0
6/19/17,910,2,0
6/26/17,911,0,0
7/3/17,912,1,0
7/10/17,913,0,0
7/17/17,914,0,0
7/24/17,915,3,0
7/31/17,916,3,0
8/7/17,917,3,0
8/14/17,918,0,0
8/21/17,919,4,0
8/28/17,920,0,0
9/4/17,921,4,0
9/11/17,922,3,0
9/18/17,923,2,0
9/25/17,924,5,0
10/2/17,925,5,0
10/9/17,926,4,0
10/16/17,927,8,0
10/23/17,928,3,0
10/30/17,929,1,0
11/6/17,930,4,0
11/13/17,931,3,0
11/20/17,932,1,0
11/27/17,933,2,0
12/4/17,934,2,0
12/11/17,935,5,0
12/18/17,936,1,0
12/25/17,937,3,0
1/1/18,938,5,0
1/8/18,939,4,0
1/15/18,940,0,0
1/22/18,941,2,0
1/29/18,942,1,0
2/5/18,943,2,0
2/12/18,944,1,0
2/19/18,945,3,0
2/26/18,946,0,0
3/5/18,947,2,0
3/12/18,948,1,0
3/19/18,949,1,0
3/26/18,950,2,0
4/2/18,951,2,0
4/9/18,952,1,0
4/16/18,953,2,0
4/23/18,954,0,0
4/30/18,955,0,0
5/7/18,956,6,0
5/14/18,957,1,0
5/21/18,958,3,0
5/28/18,959,0,0
6/4/18,960,2,0
6/11/18,961,1,0
6/18/18,962,1,0
6/25/18,963,2,0
7/2/18,964,1,0
7/9/18,965,1,0
7/16/18,966,2,0
7/23/18,967,2,0
7/30/18,968,3,0
8/6/18,969,1,0
8/13/18,970,2,0
8/20/18,971,1,0
8/27/18,972,4,0
9/3/18,973,3,0
9/10/18,974,2,0
9/17/18,975,4,0
9/24/18,976,3,0
10/1/18,977,1,0
10/8/18,978,1,0
10/15/18,979,3,0
10/22/18,980,2,0
10/29/18,981,0,0
11/5/18,982,2,0
