theft,myear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2001,0,0,1,0,0,3,1,2,1,1,2,1,0,1,0,1,1,1,0,1,0,0,0,0
1,2002,0,0,2,3,0,2,2,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,2003,0,0,0,0,2,2,2,0,0,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0
1,2004,0,0,0,1,4,3,0,3,5,0,0,0,0,1,0,1,0,3,2,1,1,2,1,0
1,2005,0,0,0,0,0,6,2,1,1,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1,2006,0,0,0,0,0,1,3,1,3,1,2,2,0,3,0,1,2,1,0,1,0,1,1,2
1,2007,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0
1,2008,0,0,0,0,0,0,0,0,2,1,3,0,1,0,1,1,1,0,0,0,0,2,0,2
1,2009,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,1,1,2,2,1,2
1,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,4,1,1,3,3
1,2011,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,4,1,1,6,29,57,42
1,2012,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,6,2,5,5,3,6,57,90,76
1,2013,0,0,0,0,0,0,0,0,0,0,0,0,2,7,15,9,16,12,12,13,22,169,253,215
1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,5,10,11,10,93,139,121
1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,31,39,42,20,55,361,455,347
1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,20,21,17,25,52,174
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,6,5,12,19,64
1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,13,53,122
1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,21,17,33,130
1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,36,105
1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,14
1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12
1,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
