theft,myear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1989,7,6,5,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990,6,5,5,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1991,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1992,3,2,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1993,2,5,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1995,1,8,4,2,3,5,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1996,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1997,3,3,3,3,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1998,2,2,1,3,3,1,0,0,1,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0
0,1999,3,5,7,9,3,0,1,3,4,6,2,6,1,4,1,0,1,1,0,0,1,0,0,0
0,2000,8,4,9,7,9,6,4,9,7,2,4,4,5,8,2,1,4,2,2,4,0,0,0,0
0,2001,1,5,9,4,4,6,2,10,4,2,5,3,2,3,8,3,1,5,3,2,0,0,0,0
0,2002,0,0,13,9,17,8,11,14,11,5,7,13,6,6,7,13,6,9,3,2,3,1,0,0
0,2003,0,0,0,8,13,8,6,9,4,8,9,10,9,2,8,10,5,14,9,3,1,0,1,1
0,2004,0,0,0,0,14,13,10,10,10,9,9,7,5,9,14,17,16,6,10,8,7,2,0,0
0,2005,0,0,0,0,0,11,9,5,8,8,4,4,3,6,7,17,2,6,5,4,4,1,0,0
0,2006,0,0,0,0,0,2,23,17,13,8,11,11,14,16,18,16,16,18,18,19,8,9,2,3
0,2007,0,0,0,0,0,0,0,7,10,5,10,6,11,7,8,13,16,16,13,9,8,1,0,1
0,2008,0,0,0,0,0,0,0,2,11,8,9,6,9,6,10,12,11,14,9,12,7,2,1,2
0,2009,0,0,0,0,0,0,0,0,3,8,12,13,12,11,15,13,18,20,24,8,12,3,4,2
0,2010,0,0,0,0,0,0,0,0,0,2,9,5,15,7,8,10,15,8,5,13,8,1,4,2
0,2011,0,0,0,0,0,0,0,0,0,0,9,50,62,33,50,40,44,44,45,29,43,10,11,12
0,2012,0,0,0,0,0,0,0,0,0,0,1,3,37,36,47,43,49,34,39,37,35,5,8,6
0,2013,0,0,0,0,0,0,0,0,0,0,0,0,6,58,88,97,73,77,64,70,60,14,10,9
0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,82,57,50,39,27,24,4,1,9
0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78,144,125,109,62,42,24,14,16
0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,105,145,121,80,25,12,14,6
0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80,111,140,64,21,9,14
0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,70,38,12,8,9
0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,11,3,5
0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,6
0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,8
0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1
0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
