theft,myear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1989,6,4,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990,7,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1991,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1992,1,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1993,2,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1995,1,2,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1996,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1997,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1998,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1999,0,0,0,2,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,2000,4,0,0,5,4,1,1,3,1,1,3,2,1,2,0,0,2,0,0,0,0,0,0,1
1,2001,0,12,1,2,0,2,0,3,2,0,2,3,1,0,1,0,1,0,2,0,0,0,1,0
1,2002,0,1,8,2,1,3,1,2,0,2,1,1,0,0,3,2,1,2,1,0,0,4,4,0
1,2003,0,0,0,4,4,3,3,1,0,0,0,0,2,2,2,5,5,2,1,2,2,0,4,2
1,2004,0,0,0,0,12,2,1,1,2,3,4,2,1,0,1,1,4,5,3,4,1,0,1,3
1,2005,0,0,0,0,0,5,0,1,1,1,0,0,2,2,0,1,1,3,3,2,2,0,1,3
1,2006,0,0,0,0,0,1,6,2,6,1,1,1,1,2,3,4,1,7,2,2,1,7,2,4
1,2007,0,0,0,0,0,0,0,3,4,2,0,0,0,3,1,0,0,4,4,0,2,2,1,1
1,2008,0,0,0,0,0,0,0,2,10,1,4,0,0,5,1,1,1,0,0,0,1,5,4,1
1,2009,0,0,0,0,0,0,0,0,4,3,0,3,0,0,5,1,2,0,4,2,0,2,1,3
1,2010,0,0,0,0,0,0,0,0,0,1,2,1,0,2,3,0,0,2,1,0,1,2,6,1
1,2011,0,0,0,0,0,0,0,0,0,0,2,4,8,5,5,5,12,7,8,15,26,104,170,170
1,2012,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,5,11,5,10,10,28,84,156,145
1,2013,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,10,10,17,11,16,46,124,251,322
1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,12,4,6,1,11,44,132,159
1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,9,11,23,43,135,201,229
1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,26,30,10,39,141,195,205
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,27,17,41,148,229,218
1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,22,62,70,76
1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,74,70,89
1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2
1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5
1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
