Year,US_Sales_Camry,US_Sales_Civic,US_Sales_Sonata
1973,,32575,
1974,,43119,
1975,,102389,
1976,,132286,
1977,,147638,
1978,,154035,
1979,,155541,
1980,,138740,
1981,,154698,
1982,,132469,
1983,52651,137747,
1984,93725,184846,
1985,128143,208031,
1986,151767,235801,
1987,186623,221252,
1988,225322,225543,
1989,255252,235452,
1990,283042,261502,25021
1991,262531,232690,24542
1992,284751,219228,29152
1993,297836,255579,15452
1994,319718,267023,24129.5
1995,326632,289435,32807
1996,357359,286350,9694
1997,394397,321144,18035
1998,427308,335110,14144
1999,445696,318309,27016
2000,420451,324528,45983
2001,388219,331780,62385
2002,431647,313159,68085
2003,411088,299672,82330
2004,424803,309196,107189
2005,431703,308415,130365
2006,448445,316638,149513
2007,472808,331095,145568
2008,436617,335126,117357
2009,356824,259722,120028
2010,327553,260218,196623
2011,306510,221235,225961
2012,404885,344996,230605
2013,408484,336181,203648
2014,428606,326081,216936
2015,429355,335384,213303
2016,388616,366927,199408
2017,387081,377286,131803
2018,343439,325760,105118
2019,336978,325650,87466
2020,294348,261225,76997
2021,313795,263787,83434
2022,295201,133932,52140
2023,290649,200381,40655
