URL,video_shared_date,authour_username,author_nickname,video_description,video_hashtags,posted_location,video_music_title,like_count,comment_count,save_count,share_count
https://www.tiktok.com/@abmkeke1/video/7099544160243436846,5/19/22,abmkeke1,It’s me keke🤘🏾💪🏾,Kia boys documentary,[],,original sound - It’s me keke🤘🏾💪🏾,749,5,70,12
https://www.tiktok.com/@414.kidtakeover/video/7109123251539987758,6/14/22,414.kidtakeover,414.boystakeover,#fyp#fypdoesntwork#boostofhope#milwaukee#414,"['#fyp', '#fypdoesntwork', '#boostofhope', '#milwaukee', '#414']",,original sound - 414.boystakeover,4048,49,416,163
https://www.tiktok.com/@bbyjimboduh/video/7109132502094253358,6/14/22,bbyjimboduh,bbyjimboduh,,[],,original sound - bbyjimboduh,926,18,85,27
https://www.tiktok.com/@xxxlilbapebaby2/video/7109379942684806446,6/15/22,xxxlilbapebaby2,xxxlilbapebaby2,,[],,Free RTM - Tae Rackzz,24.6K,257,1201,271
https://www.tiktok.com/@spanish.xxx.music/video/7115258724301720874,6/30/22,spanish.xxx.music,Spanish.xxx.music,,[],,LLW - TRAPDUMMIE Nas,3278,49,375,248
https://www.tiktok.com/@unknown_siah5/video/7115617341366586670,7/1/22,unknown_siah5,👾Ⓜ️,,[],Milwaukee County,Free RTM - Tae Rackzz,6495,258,533,113
https://www.tiktok.com/@xxbanana2.0/video/7115842940035091758,7/2/22,xxbanana2.0,Xhannahc,They gettin too outta hand#columbus#stolencars,"['#columbus', '#stolencars']",,original sound - Xhannahc,505,14,47,27
https://www.tiktok.com/@datboy_tay0/video/7116386874499058990,7/3/22,datboy_tay0,Tay,Kia boys#kiaboy,['#kiaboy'],,Free RTM - Tae Rackzz,13,1,0,Share
https://www.tiktok.com/@itssamanthaj_/video/7116601489870572843,7/4/22,itssamanthaj_,samantha,🥰,[],,original sound - samantha,461.8K,6355,15K,16K
https://www.tiktok.com/@fbcswan/video/7117309954565917995,7/6/22,fbcswan,fbcswan,🫣#fyp#fypシ#fypシ゚viral#nbayoungboy#kiaboy#viralvideo,"['#fyp', '#fypシ', '#fypシ', '#nbayoungboy', '#kiaboy', '#viralvideo']",,original sound - fbcswan,51.9K,977,5161,1090
https://www.tiktok.com/@fbcswan/video/7117877853634727214,7/7/22,fbcswan,fbcswan,#fyp#fypage#nbayoungboy#vira#kiaboy#fyppppppppppppppppppppppp,"['#fyp', '#fypage', '#nbayoungboy', '#vira', '#kiaboy', '#fyppppppppppppppppppppppp']",,original sound - fbcswan,391,6,36,3
