seq,date_num,date_val,weeknum,theft,kia_boys,kia_boys_la
1,42737,1/2/17,886,33,0,0
2,42744,1/9/17,887,40,0,0
3,42751,1/16/17,888,36,0,0
4,42758,1/23/17,889,36,0,0
5,42765,1/30/17,890,24,0,0
6,42772,2/6/17,891,34,0,0
7,42779,2/13/17,892,43,0,0
8,42786,2/20/17,893,39,0,0
9,42793,2/27/17,894,44,0,0
10,42800,3/6/17,895,37,0,0
11,42807,3/13/17,896,26,0,0
12,42814,3/20/17,897,33,0,0
13,42821,3/27/17,898,39,0,0
14,42828,4/3/17,899,29,0,0
15,42835,4/10/17,900,31,0,0
16,42842,4/17/17,901,35,0,0
17,42849,4/24/17,902,31,0,0
18,42856,5/1/17,903,46,0,0
19,42863,5/8/17,904,36,0,0
20,42870,5/15/17,905,34,0,0
21,42877,5/22/17,906,44,0,0
22,42884,5/29/17,907,37,0,0
23,42891,6/5/17,908,29,0,0
24,42898,6/12/17,909,36,0,0
25,42905,6/19/17,910,49,0,0
26,42912,6/26/17,911,31,0,0
27,42919,7/3/17,912,38,0,0
28,42926,7/10/17,913,52,0,0
29,42933,7/17/17,914,28,0,0
30,42940,7/24/17,915,37,0,0
31,42947,7/31/17,916,38,0,0
32,42954,8/7/17,917,30,0,0
33,42961,8/14/17,918,41,0,0
34,42968,8/21/17,919,41,0,0
35,42975,8/28/17,920,33,0,0
36,42982,9/4/17,921,31,0,0
37,42989,9/11/17,922,33,0,0
38,42996,9/18/17,923,42,0,0
39,43003,9/25/17,924,37,0,0
40,43010,10/2/17,925,41,0,0
41,43017,10/9/17,926,35,0,0
42,43024,10/16/17,927,50,0,0
43,43031,10/23/17,928,45,0,0
44,43038,10/30/17,929,39,0,0
45,43045,11/6/17,930,41,0,0
46,43052,11/13/17,931,47,0,0
47,43059,11/20/17,932,31,0,0
48,43066,11/27/17,933,38,0,0
49,43073,12/4/17,934,42,0,0
50,43080,12/11/17,935,43,0,0
51,43087,12/18/17,936,35,0,0
52,43094,12/25/17,937,49,0,0
53,43101,1/1/18,938,33,0,0
54,43108,1/8/18,939,42,0,0
55,43115,1/15/18,940,32,0,0
56,43122,1/22/18,941,34,0,0
57,43129,1/29/18,942,42,0,0
58,43136,2/5/18,943,33,0,0
59,43143,2/12/18,944,32,0,0
60,43150,2/19/18,945,35,0,0
61,43157,2/26/18,946,39,0,0
62,43164,3/5/18,947,45,0,0
63,43171,3/12/18,948,34,0,0
64,43178,3/19/18,949,36,0,0
65,43185,3/26/18,950,35,0,0
66,43192,4/2/18,951,38,0,0
67,43199,4/9/18,952,35,0,0
68,43206,4/16/18,953,45,0,0
69,43213,4/23/18,954,45,0,0
70,43220,4/30/18,955,38,0,0
71,43227,5/7/18,956,49,0,0
72,43234,5/14/18,957,37,0,0
73,43241,5/21/18,958,46,0,0
74,43248,5/28/18,959,56,0,0
75,43255,6/4/18,960,50,0,0
76,43262,6/11/18,961,32,0,0
77,43269,6/18/18,962,45,0,0
78,43276,6/25/18,963,41,0,0
79,43283,7/2/18,964,34,0,0
80,43290,7/9/18,965,39,0,0
81,43297,7/16/18,966,23,0,0
82,43304,7/23/18,967,38,0,0
83,43311,7/30/18,968,43,0,0
84,43318,8/6/18,969,42,0,0
85,43325,8/13/18,970,50,0,0
86,43332,8/20/18,971,42,0,0
87,43339,8/27/18,972,32,0,0
88,43346,9/3/18,973,33,0,0
89,43353,9/10/18,974,31,0,0
90,43360,9/17/18,975,41,0,0
91,43367,9/24/18,976,34,0,0
92,43374,10/1/18,977,32,0,0
93,43381,10/8/18,978,34,0,0
94,43388,10/15/18,979,34,0,0
95,43395,10/22/18,980,34,0,0
96,43402,10/29/18,981,29,0,0
97,43409,11/5/18,982,37,0,0
98,43416,11/12/18,983,35,0,0
99,43423,11/19/18,984,43,0,0
100,43430,11/26/18,985,49,0,0
101,43437,12/3/18,986,40,0,0
102,43444,12/10/18,987,47,0,0
103,43451,12/17/18,988,49,0,0
104,43458,12/24/18,989,41,0,0
105,43465,12/31/18,990,40,0,0
106,43472,1/7/19,991,31,0,0
107,43479,1/14/19,992,39,0,0
108,43486,1/21/19,993,29,0,0
109,43493,1/28/19,994,36,0,0
110,43500,2/4/19,995,32,0,0
111,43507,2/11/19,996,36,0,0
112,43514,2/18/19,997,32,0,0
113,43521,2/25/19,998,42,0,0
114,43528,3/4/19,999,31,0,0
115,43535,3/11/19,1000,50,0,0
116,43542,3/18/19,1001,34,0,0
117,43549,3/25/19,1002,34,0,0
118,43556,4/1/19,1003,52,0,0
119,43563,4/8/19,1004,20,0,0
120,43570,4/15/19,1005,32,0,0
121,43577,4/22/19,1006,45,0,0
122,43584,4/29/19,1007,40,0,0
123,43591,5/6/19,1008,26,0,0
124,43598,5/13/19,1009,41,0,0
125,43605,5/20/19,1010,35,0,0
126,43612,5/27/19,1011,36,0,0
127,43619,6/3/19,1012,34,0,0
128,43626,6/10/19,1013,33,0,0
129,43633,6/17/19,1014,43,0,0
130,43640,6/24/19,1015,33,0,0
131,43647,7/1/19,1016,43,0,0
132,43654,7/8/19,1017,38,0,0
133,43661,7/15/19,1018,40,0,0
134,43668,7/22/19,1019,32,0,0
135,43675,7/29/19,1020,34,0,0
136,43682,8/5/19,1021,35,0,0
137,43689,8/12/19,1022,40,0,0
138,43696,8/19/19,1023,41,0,0
139,43703,8/26/19,1024,32,0,0
140,43710,9/2/19,1025,42,0,0
141,43717,9/9/19,1026,48,0,0
142,43724,9/16/19,1027,39,0,0
143,43731,9/23/19,1028,39,0,0
144,43738,9/30/19,1029,34,0,0
145,43745,10/7/19,1030,35,0,0
146,43752,10/14/19,1031,31,0,0
147,43759,10/21/19,1032,37,0,0
148,43766,10/28/19,1033,41,0,0
149,43773,11/4/19,1034,40,0,0
150,43780,11/11/19,1035,31,0,0
151,43787,11/18/19,1036,23,0,0
152,43794,11/25/19,1037,45,0,0
153,43801,12/2/19,1038,44,0,0
154,43808,12/9/19,1039,30,0,0
155,43815,12/16/19,1040,35,0,0
156,43822,12/23/19,1041,37,0,0
157,43829,12/30/19,1042,40,0,0
158,43836,1/6/20,1043,44,0,0
159,43843,1/13/20,1044,41,0,0
160,43850,1/20/20,1045,51,0,0
161,43857,1/27/20,1046,51,0,0
162,43864,2/3/20,1047,35,0,0
163,43871,2/10/20,1048,37,0,0
164,43878,2/17/20,1049,36,0,0
165,43885,2/24/20,1050,37,0,0
166,43892,3/2/20,1051,27,0,0
167,43899,3/9/20,1052,32,0,0
168,43906,3/16/20,1053,35,0,0
169,43913,3/23/20,1054,22,0,0
170,43920,3/30/20,1055,10,0,0
171,43927,4/6/20,1056,21,0,0
172,43934,4/13/20,1057,20,0,0
173,43941,4/20/20,1058,25,0,0
174,43948,4/27/20,1059,24,0,0
175,43955,5/4/20,1060,36,0,0
176,43962,5/11/20,1061,23,0,0
177,43969,5/18/20,1062,21,0,0
178,43976,5/25/20,1063,28,0,0
