Seq,Bureau,NAME,income
40,1,Census Tract 2774; Los Angeles County; California,0
113,1,Census Tract 2652.04; Los Angeles County; California,0
135,1,Census Tract 2653.01; Los Angeles County; California,0
158,1,Census Tract 2163.01; Los Angeles County; California,0
208,1,Census Tract 9800.28; Los Angeles County; California,0
210,1,Census Tract 9800.17; Los Angeles County; California,0
224,1,Census Tract 2149.03; Los Angeles County; California,0
276,1,Census Tract 2734.03; Los Angeles County; California,0
373,2,Census Tract 2227; Los Angeles County; California,0
387,2,Census Tract 9800.14; Los Angeles County; California,0
432,2,Census Tract 9800.31; Los Angeles County; California,0
455,2,Census Tract 2409.02; Los Angeles County; California,0
360,2,Census Tract 2247.02; Los Angeles County; California,11609
136,1,Census Tract 2653.04; Los Angeles County; California,16717
406,2,Census Tract 2426; Los Angeles County; California,21492
363,2,Census Tract 2218.20; Los Angeles County; California,24266
385,2,Census Tract 2244.20; Los Angeles County; California,25164
443,2,Census Tract 2349.02; Los Angeles County; California,26484
25,1,Census Tract 2653.07; Los Angeles County; California,26870
318,2,Census Tract 2421; Los Angeles County; California,27218
440,2,Census Tract 2362.05; Los Angeles County; California,27727
472,2,Census Tract 2219; Los Angeles County; California,28500
245,1,Census Tract 1917.10; Los Angeles County; California,28750
485,2,Census Tract 2243.20; Los Angeles County; California,30332
463,2,Census Tract 2400.10; Los Angeles County; California,30864
333,2,Census Tract 2345.02; Los Angeles County; California,31225
424,2,Census Tract 2362.03; Los Angeles County; California,31762
462,2,Census Tract 2240.20; Los Angeles County; California,31897
315,2,Census Tract 2361.01; Los Angeles County; California,32104
322,2,Census Tract 2352.02; Los Angeles County; California,32143
303,2,Census Tract 2218.10; Los Angeles County; California,32168
44,1,Census Tract 2653.03; Los Angeles County; California,33248
357,2,Census Tract 2383.20; Los Angeles County; California,33396
483,2,Census Tract 2312.20; Los Angeles County; California,33458
110,1,Census Tract 2133.20; Los Angeles County; California,33576
491,2,Census Tract 2244.10; Los Angeles County; California,34018
